M35_230001	唉。我真的好难过呀。没人理解我。
	kao3 shi4 mei2 kao3 hao3 xin1 li3 nan2 shou4
M35_230190	【叹气】。花园里的花、都凋谢了。
	hua1 yuan2 li3 de5 hua1 dou1 diao1 xie4 le5
M35_230191	风筝线断了。飘远了。
	feng1 zheng1 xian4 duan4 le5 piao1 yuan3 le5
M35_230192	【抽泣】，嗯。最好的朋友不理我了。
	en4 zui4 hao3 de5 peng2 you5 bu4 li3 wo3 le5
M35_230193	唉。生日蛋糕被吃光了。我一口都没吃。
	ai4 sheng1 ri4 dan4 gao1 bei4 chi1 guang1 le5 wo3 yi4 kou3 dou1 mei2 chi1
M35_230194	星星不见了。天空好空啊。
	xing1 xing5 bu2 jian4 le5 tian1 kong1 hao3 kong1 a5
M35_230195	嗯。妈妈生病了。我好担心。
	en4 ma1 ma5 sheng1 bing4 le5 wo3 hao3 dan1 xin1
M35_230196	【抽泣】。我的画被弄脏了。
	wo3 de5 hua4 bei4 nong4 zang1 le5
M35_230197	唉。游乐场关门了。不能去呀。
	ai4 you2 le4 chang3 guan1 men2 le5 bu4 neng2 qu4 ya5
M35_230198	哦。故事书读完了。没新故事了。
	o4 gu4 shi5 shu1 du2 wan2 le5 mei2 xin1 gu4 shi5 le5
M35_230199	秋天来了。叶子都落了。
	qiu1 tian1 lai2 le5 ye4 zi5 dou1 luo4 le5
M35_230200	我的帽子，被风吹走了。我最喜欢那顶帽子了。
	wo3 de5 mao4 zi5 bei4 feng1 chui1 zou3 le5 wo3 zui4 xi3 huan1 nei4 ding3 mao4 zi5 le5
M35_230201	唉。心爱的玩具突然坏掉了。好难过呀。
	ai4 xin1 ai4 de5 wan2 ju4 tu1 ran2 huai4 diao4 le5 hao3 nan2 guo4 ya5
M35_230202	【抽泣】。我的小帽怎么生病了呢？真揪心呀。
	wo3 de5 xiao3 mao4 zen3 me5 sheng1 bing4 le5 ne5 zhen1 jiu1 xin1 ya5
M35_230203	嗯。和小伙伴闹别扭了。心里好委屈啊！
	en4 he2 xiao3 huo3 ban4 nao4 bie4 niu5 le5 xin1 li3 hao3 wei3 qu1 a5
M35_230204	唉。最爱的花朵被踩坏了。真可惜啊！
	ai4 zui4 ai4 de5 hua1 duo3 bei4 cai3 huai4 le5 zhen1 ke3 xi1 a5
M35_230205	【呜咽】。妈妈临时有事不能陪我了。好失落啊！
	ma1 ma5 lin2 shi2 you3 shi4 bu4 neng2 pei2 wo3 le5 hao3 shi1 luo4 a5
M35_230206	【抽泣】。我的画被撕破了，好心疼呀！
	wo3 de5 hua4 bei4 si1 po4 le5 hao3 xin1 teng2 ya5
M35_230207	唉。养的金鱼翻肚皮了。好伤心呐！
	ai4 yang3 de5 jin1 yu2 fan1 du4 pi2 le5 hao3 shang1 xin1 na5
M35_230208	【抽泣】。想看的动画片、突然停播了。好郁闷啊！
	xiang3 kan4 de5 dong4 hua4 pian4 tu1 ran2 ting2 bo1 le5 hao3 yu4 men4 a5
M35_230210	和小狗玩耍时，它咬了我。好疼、好委屈啊！
	he2 xiao3 gou3 wan2 shua3 shi2 ta1 yao3 le5 wo3 hao3 teng2 hao3 wei3 qu1 a5
M35_230211	嗯。爸爸答应的礼物没有带来。我好失望啊！
	en4 ba4 ba5 da1 ying4 de5 li3 wu4 mei2 you3 dai4 lai2 wo3 hao3 shi1 wang4 a5
M35_230212	我的风筝挂树上下不来了。好无奈啊。
	wo3 de5 feng1 zheng1 gua4 shu4 shang5 xia4 bu4 lai2 le5 hao3 wu2 nai4 a5
M35_230213	唉。最爱的故事书被弄脏了。好生气呀！
	ai4 zui4 ai4 de5 gu4 shi4 shu1 bei4 nong4 zang1 le5 hao3 sheng1 qi4 ya5
M35_230214	【抽泣】。和小伙伴比赛输了。好不甘心呐！
	he2 xiao3 huo3 ban4 bi3 sai4 shu1 le5 hao3 bu4 gan1 xin1 na5
M35_230215	【抽泣】。种的草莓被鸟吃了。好心疼哟！
	zhong4 de5 cao3 mei2 bei4 niao3 chi1 le5 hao3 xin1 teng2 yo5
M35_230216	想去的地方，因为下雨去不了了，好沮丧呀！
	xiang3 qu4 de5 di4 fang5 yin1 wei4 xia4 yu3 qu4 bu4 liao3 le5 hao3 ju3 sang4 ya5
M35_230218	【抽泣】。心爱的发卡断了。好可惜呀！
	xin1 ai4 de5 fa4 qia3 duan4 le5 hao3 ke3 xi1 ya5
M35_230219	唉。和小猫玩时它跑了。好失落呀！
	ai4 he2 xiao3 mao1 wan2 shi2 ta1 pao3 le5 hao3 shi1 luo4 ya5
M35_230220	【抽泣】。妈妈做的菜不合我口味。好难过呀！
	ma1 ma5 zuo4 de5 cai4 bu4 he2 wo3 kou3 wei4 hao3 nan2 guo4 ya5
M35_230221	我的拼图少了一块。好郁闷呐！
	wo3 de5 pin1 tu2 shao3 le5 yi2 kuai4 hao3 yu4 men4 na5
M35_230223	【抽泣】。和小伙伴约好，又被他爽约了。好生气呀！
	he2 xiao3 huo3 ban4 yue1 hao3 you4 bei4 ta1 shuang3 yue1 le5 hao3 sheng1 qi4 ya5
M35_230225	养的小仓鼠不动了。好害怕呀！
	yang3 de5 xiao3 cang1 shu3 bu2 dong4 le5 hao3 hai4 pa4 ya5
M35_230226	【抽泣】。爸爸批评我了。好委屈呀！
	ba4 ba5 pi1 ping5 wo3 le5 hao3 wei3 qu1 ya5
M35_230227	【抽泣】。我的布娃娃、破了个洞，好心疼哦！
	wo3 de5 bu4 wa2 wa5 po4 le5 ge5 dong4 hao3 xin1 teng2 o5
M35_230228	唉。想去游泳，却没带泳衣。好懊恼呀！
	ai4 xiang3 qu4 you2 yong3 que4 mei2 dai4 yong3 yi1 hao3 ao4 nao3 ya5
M35_230230	【抽泣】。心爱的卡片被风吹走了，好可惜啊！
	xin1 ai4 de5 ka3 pian4 bei4 feng1 chui1 zou3 le5 hao3 ke3 xi1 a5
M35_230231	唉。和小狗散步它乱跑。好累、好委屈！
	ai4 he2 xiao3 gou3 san4 bu4 ta1 luan4 pao3 hao3 lei4 hao3 wei3 qu1
M35_230232	【抽泣】。妈妈忘记我的生日了。好伤心呐！
	ma1 ma5 wang4 ji4 wo3 de5 sheng1 ri4 le5 hao3 shang1 xin1 na5
M35_230233	我的陀螺转不起来了，好郁闷哦。
	wo3 de5 tuo2 luo2 zhuan4 bu4 qi3 lai2 le5 hao3 yu4 men4 o5
M35_230234	【抽泣】。最爱的冰淇淋掉地上了，好心疼呐！
	zui4 ai4 de5 bing1 qi2 lin2 diao4 di4 shang4 le5 hao3 xin1 teng2 na5
M35_230235	【抽泣】。和小伙伴吵架了。好后悔呀！
	he2 xiao3 huo3 ban4 chao3 jia4 le5 hao3 hou4 hui3 ya5
M35_230236	【抽泣】。我的风筝线断了，好无奈哟！
	wo3 de5 feng1 zheng1 xian4 duan4 le5 hao3 wu2 nai4 yo5
M35_230240	唉。心爱的项链也断了，好可惜呢。
	ai4 xin1 ai4 de5 xiang4 lian4 ye3 duan4 le5 hao3 ke3 xi1 ne5
M35_230241	和小猫抢东西被抓了。好疼、好委屈！
	he2 xiao3 mao1 qiang3 dong1 xi5 bei4 zhua1 le5 hao3 teng2 hao3 wei3 qu1
M35_230243	唉。想去公园却下雨了。好沮丧呢。
	ai4 xiang3 qu4 gong1 yuan2 que4 xia4 yu3 le5 hao3 ju3 sang4 ne5
M35_230245	【呜咽】。最爱的漫画书被没收了，好郁闷呀！
	zui4 ai4 de5 man4 hua4 shu1 bei4 mo4 shou1 le5 hao3 yu4 men4 ya5
M35_230246	和小伙伴约好、没赴约，好愧疚呀。
	he2 xiao3 huo3 ban4 yue1 hao3 mei2 fu4 yue1 hao3 kui4 jiu4 ya5
M35_230247	我的沙包漏沙了，好无奈呀。
	wo3 de5 sha1 bao1 lou4 sha1 le5 hao3 wu2 nai4 ya5
M35_230248	养的小鸟飞走了，好伤心呐！
	yang3 de5 xiao3 niao3 fei1 zou3 le5 hao3 shang1 xin1 na5
M35_230249	【呜咽】。妈妈做的饭太咸了，好难过呀！
	ma1 ma5 zuo4 de5 fan4 tai4 xian2 le5 hao3 nan2 guo4 ya5
M35_230253	【抽泣】。我的积木塔倒了，好心疼呀！
	wo3 de5 ji1 mu4 ta3 dao3 le5 hao3 xin1 teng2 ya5
M35_230254	唉。想去爬山却没有力气，好懊恼啊！
	ai4 xiang3 qu4 pa2 shan1 que4 mei2 you3 li4 qi4 hao3 ao4 nao3 a5
M35_230256	【抽泣】。最爱的贴纸本丢了，好郁闷啊。
	zui4 ai4 de5 tie1 zhi3 ben3 diu1 le5 hao3 yu4 men4 a5
M35_230257	【抽泣】。和小伙伴闹矛盾了。好后悔呀！
	he2 xiao3 huo3 ban4 nao4 mao2 dun4 le5 hao3 hou4 hui3 ya5
M35_230259	【叹气】。种的小树被风吹倒了，好失落呀。
	zhong4 de5 xiao3 shu4 bei4 feng1 chui1 dao3 le5 hao3 shi1 luo4 ya5
M35_230260	【抽泣】。爸爸答应的旅行泡汤了。好失望哦。
	ba4 ba5 da1 ying4 de5 lv3 xing2 pao4 tang1 le5 hao3 shi1 wang4 o5
M35_230262	心爱的发圈丢了，好可惜啊！
	xin1 ai4 de5 fa4 quan1 diu1 le5 hao3 ke3 xi1 a5
M35_230263	【抽泣】。和小猫抢床被赶走。好委屈呀！
	he2 xiao3 mao1 qiang3 chuang2 bei4 gan3 zou3 hao3 wei3 qu1 ya5
M35_230264	【吸鼻子】。我的玩具枪卡壳了，好心疼呀！
	wo3 de5 wan2 ju4 qiang1 ka3 ke2 le5 hao3 xin1 teng2 ya5
M35_230266	【鼻息】，我的话被老师批评。好难过呀！
	wo3 de5 hua4 bei4 lao3 shi1 pi1 ping5 hao3 nan2 guo4 ya5
M35_230267	最爱的零食过期了。好郁闷呀。
	zui4 ai4 de5 ling2 shi2 guo4 qi1 le5 hao3 yu4 men4 ya5
M35_230270	【鼻息】，唉。养的小鸭子淹死了。好伤心呐！
	ai4 yang3 de5 xiao3 ya1 zi5 yan1 si3 le5 hao3 shang1 xin1 na5
M35_230271	【抽泣】。我妈妈做的菜太辣了。好难受呀！
	wo3 ma1 ma5 zuo4 de5 cai4 tai4 la4 le5 hao3 nan2 shou4 ya5
M35_230273	唉。心爱的书包拉链坏了。好可惜呢。
	ai4 xin1 ai4 de5 shu1 bao1 la1 lian4 huai4 le5 hao3 ke3 xi1 ne5
M35_230274	【抽泣】。和小狗赛跑摔倒了。好疼、好委屈。
	he2 xiao3 gou3 sai4 pao3 shuai1 dao3 le5 hao3 teng2 hao3 wei3 qu1
M35_230278	【抽泣】。最爱的卡片、被水清了。好郁闷呀！
	zui4 ai4 de5 ka3 pian4 bei4 shui3 qing1 le5 hao3 yu4 men4 ya5
M35_230279	和小伙伴约好又迟到了。好愧疚呀！
	he2 xiao3 huo3 ban4 yue1 hao3 you4 chi2 dao4 le5 hao3 kui4 jiu4 ya5
M35_230280	我的风筝被树枝划破了。好无奈呀！
	wo3 de5 feng1 zheng1 bei4 shu4 zhi1 hua2 po4 le5 hao3 wu2 nai4 ya5
M35_230281	【抽泣】。种的花被虫吃了。好失落呀！
	zhong4 de5 hua1 bei4 chong2 chi1 le5 hao3 shi1 luo4 ya5
M35_230282	【抽泣】。爸爸答应的奖金没了。好失望呀！
	ba4 ba5 da1 ying4 de5 jiang3 jin1 mei2 le5 hao3 shi1 wang4 ya5
M35_230284	唉。心爱的项链链子断了，好可惜啊！
	ai4 xin1 ai4 de5 xiang4 lian4 lian4 zi5 duan4 le5 hao3 ke3 xi1 a5
M35_230285	和小猫抢球被抓伤。好疼，好委屈。
	he2 xiao3 mao1 qiang3 qiu2 bei4 zhua1 shang1 hao3 teng2 hao3 wei3 qu1
M35_230286	我的玩具火车脱轨了，好心疼呀！
	wo3 de5 wan2 ju4 huo3 che1 tuo1 gui3 le5 hao3 xin1 teng2 ya5
M35_230287	唉。想去游泳馆却关门了。好沮丧呢。
	ai4 xiang3 qu4 you2 yong3 guan3 que4 guan1 men2 le5 hao3 ju3 sang4 ne5
M35_230289	【抽泣】。最爱的漫画被撕页了、好郁闷呀！
	zui4 ai4 de5 man4 hua4 bei4 si1 ye4 le5 hao3 yu4 men4 ya5
M35_230290	【抽泣】。和小伙伴闹掰了，好后悔呀！
	he2 xiao3 huo3 ban4 nao4 bai1 le5 hao3 hou4 hui3 ya5
M35_230291	我的风筝飞进树林了，好害怕哟！
	wo3 de5 feng1 zheng1 fei1 jin4 shu4 lin2 le5 hao3 hai4 pa4 yo5
M35_230292	唉。种的小树被虫蛀了。好失落呀！
	ai4 zhong4 de5 xiao3 shu4 bei4 chong2 zhu4 le5 hao3 shi1 luo4 ya5
M35_230293	【抽泣】，爸爸答应的礼物缩水了。好失望呀！
	ba4 ba5 da1 ying4 de5 li3 wu4 suo1 shui3 le5 hao3 shi1 wang4 ya5
M35_230295	【哽咽】，心爱的发卡夹子掉了，好可惜呢。
	xin1 ai4 de5 fa4 qia3 jia2 zi5 diao4 le5 hao3 ke3 xi1 ne5
M35_230296	【呜咽】。和小猫抢食被咬了，好疼、好委屈。
	he2 xiao3 mao1 qiang3 shi2 bei4 yao3 le5 hao3 teng2 hao3 wei3 qu1
M35_230297	【呜咽】。我的玩具船漏水了、好心疼哦。
	wo3 de5 wan2 ju4 chuan2 lou4 shui3 le5 hao3 xin1 teng2 o5
M35_230300	最爱的贴纸、被粘坏了。好郁闷呀！
	zui4 ai4 de5 tie1 zhi3 bei4 zhan1 huai4 le5 hao3 yu4 men4 ya5
M35_230301	和小伙伴约好了、却没有来，好失落呀！
	he2 xiao3 huo3 ban4 yue1 hao3 le5 que4 mei2 you3 lai2 hao3 shi1 luo4 ya5
M35_230302	我的风筝刮到屋檐上，好无奈哦。
	wo3 de5 feng1 zheng1 gua1 dao4 wu1 yan2 shang4 hao3 wu2 nai4 o5
M35_230303	【抽泣】。养的小兔子不见了，好伤心呐！
	yang3 de5 xiao3 tu4 zi5 bu2 jian4 le5 hao3 shang1 xin1 na5
M35_230304	妈妈做的饭太淡了，好没味儿呀。
	ma1 ma5 zuo4 de5 fan4 tai4 dan4 le5 hao3 mei2 wei4 er5 ya5
M35_230306	唉。心爱的手表表带断了，好可惜呀！
	ai4 xin1 ai4 de5 shou3 biao3 biao3 dai4 duan4 le5 hao3 ke3 xi1 ya5
M35_230307	【抽泣】。和小狗玩耍被撞倒了。好疼好委屈。
	he2 xiao3 gou3 wan2 shua3 bei4 zhuang4 dao3 le5 hao3 teng2 hao3 wei3 qu1
M35_230308	哇！我的积木城堡塌了，好心疼哦。
	wa5 wo3 de5 ji1 mu4 cheng2 bao3 ta1 le5 hao3 xin1 teng2 o5
M35_230311	最爱的贴纸本被画花了。好郁闷呀！
	zui4 ai4 de5 tie1 zhi3 ben3 bei4 hua4 hua1 le5 hao3 yu4 men4 ya5
M35_230312	【抽泣】。和小伙伴闹得很僵。好后悔呀！
	he2 xiao3 huo3 ban4 nao4 de5 hen3 jiang1 hao3 hou4 hui3 ya5
M35_230313	【抽泣】。我的风筝被大风刮跑了，好无奈呀！
	wo3 de5 feng1 zheng1 bei4 da4 feng1 gua1 pao3 le5 hao3 wu2 nai4 ya5
M35_230314	【抽泣】。种的小树被车撞了。好失落呢。
	zhong4 de5 xiao3 shu4 bei4 che1 zhuang4 le5 hao3 shi1 luo4 ne5
M35_230315	【抽泣】，爸爸答应的游戏取消了。好失望、【抽泣】。
	ba4 ba5 da1 ying4 de5 you2 xi4 qu3 xiao1 le5 hao3 shi1 wang4
M35_230317	心爱的发圈弹性没了。好可惜呀！
	xin1 ai4 de5 fa4 quan1 tan2 xing4 mei2 le5 hao3 ke3 xi1 ya5
M35_230318	和小猫抢窝被赶出来了。好委屈啊！
	he2 xiao3 mao1 qiang3 wo1 bei4 gan3 chu1 lai5 le5 hao3 wei3 qu1 a5
M35_230319	我的玩具枪没子弹了。好心疼啊！
	wo3 de5 wan2 ju4 qiang1 mei2 zi3 dan4 le5 hao3 xin1 teng2 a5
M35_230320	想去钓鱼却没有钓到。好沮丧！
	xiang3 qu4 diao4 yu2 que4 mei2 you3 diao4 dao4 hao3 ju3 sang4
M35_230321	我的话被同学嘲笑了。好难过呀！
	wo3 de5 hua4 bei4 tong2 xue2 chao2 xiao4 le5 hao3 nan2 guo4 ya5
M35_230322	【抽泣】。最爱的零食被妹妹抢走了。好郁闷呀！
	zui4 ai4 de5 ling2 shi2 bei4 mei4 mei5 qiang3 zou3 le5 hao3 yu4 men4 ya5
M35_230323	和小伙伴作弊被举报了。好羞愧呀。
	he2 xiao3 huo3 ban4 zuo4 bi4 bei4 ju3 bao4 le5 hao3 xiu1 kui4 ya5
M35_230324	【抽泣】。我的沙漏沙子漏光了，好无奈呀。
	wo3 de5 sha1 lou4 sha1 zi5 lou4 guang1 le5 hao3 wu2 nai4 ya5
M35_230325	唉。养的小鸭子走丢了，好伤心呐！
	ai4 yang3 de5 xiao3 ya1 zi5 zou3 diu1 le5 hao3 shang1 xin1 na5
M35_230326	【抽泣】。我妈做的菜太油了，好难吃啊！
	wo3 ma1 zuo4 de5 cai4 tai4 you2 le5 hao3 nan2 chi1 a5
M35_230328	心爱的书包被划破了，好可惜哟。
	xin1 ai4 de5 shu1 bao1 bei4 hua2 po4 le5 hao3 ke3 xi1 yo5
M35_230329	【抽泣】。和小狗赛跑输了还摔倒了，好疼、好委屈。
	he2 xiao3 gou3 sai4 pao3 shu1 le5 hai2 shuai1 dao3 le5 hao3 teng2 hao3 wei3 qu1
M35_230330	我的拼装玩具散架了，好心疼哦。
	wo3 de5 pin1 zhuang1 wan2 ju4 san3 jia4 le5 hao3 xin1 teng2 o5
M35_230331	想去露营却忘带帐篷了。好懊恼呢。
	xiang3 qu4 lu4 ying2 que4 wang4 dai4 zhang4 peng5 le5 hao3 ao4 nao3 ne5
M35_230333	最爱的卡片被火烧了，好郁闷呀！
	zui4 ai4 de5 ka3 pian4 bei4 huo3 shao1 le5 hao3 yu4 men4 ya5
M35_230334	和小伙伴约好又失约了。好愧疚。
	he2 xiao3 huo3 ban4 yue1 hao3 you4 shi1 yue1 le5 hao3 kui4 jiu4
M35_230335	我的风筝被鸟攻击，好无奈呀。
	wo3 de5 feng1 zheng1 bei4 niao3 gong1 ji1 hao3 wu2 nai4 ya5
M35_230337	【抽泣】。爸爸答应的奖励没了。好失望呀！
	ba4 ba5 da1 ying4 de5 jiang3 li4 mei2 le5 hao3 shi1 wang4 ya5
M35_230339	【抽泣】。心爱的项链珠子掉了，好可惜呀！
	xin1 ai4 de5 xiang4 lian4 zhu1 zi5 diao4 le5 hao3 ke3 xi1 ya5
M35_230340	【抽泣】。和小猫抢玩具被抓。好疼，好委屈。
	he2 xiao3 mao1 qiang3 wan2 ju4 bei4 zhua1 hao3 teng2 hao3 wei3 qu1
M35_230342	【叹气】。想去游泳馆、却没有泳镜，好沮丧呢。
	xiang3 qu4 you2 yong3 guan3 que4 mei2 you3 yong3 jing4 hao3 ju3 sang4 ne5
M35_230345	【抽泣】，和小伙伴闹到绝交了，好后悔呀！
	he2 xiao3 huo3 ban4 nao4 dao4 jue2 jiao1 le5 hao3 hou4 hui3 ya5
M35_230346	【抽泣】。我的风筝飞进湖里了。好害怕呀！
	wo3 de5 feng1 zheng1 fei1 jin4 hu2 li3 le5 hao3 hai4 pa4 ya5
M35_230347	【抽泣】。种的小树被砍了，好失落呀！
	zhong4 de5 xiao3 shu4 bei4 kan3 le5 hao3 shi1 luo4 ya5
M35_230350	【叹气】。心爱的发卡颜色掉了。好可惜呀！
	xin1 ai4 de5 fa4 qia3 yan2 se4 diao4 le5 hao3 ke3 xi1 ya5
