M24_230001	哎。我真的好难过呀！没人理解我。
	wo3 de5 xiao3 niao3 fei1 zou3 le5 zai4 ye3 bu4 hui2 lai5
M24_230186	【叹气】。玩具坏了。修不好了。
	wan2 ju4 huai4 le5 xiu1 bu4 hao3 le5
M24_230187	哦。梦里的快乐醒来就没了。
	o5 meng4 li3 de5 kuai4 le4 xing3 lai2 jiu4 mei2 le5
M24_230188	【叹气】。爸爸出差了。我好想他。
	ba4 ba5 chu1 chai1 le5 wo3 hao3 xiang3 ta1
M24_230189	【哭声】，考试没考好。心里难受。
	kao3 shi4 mei2 kao3 hao3 xin1 li3 nan2 shou4
M24_230190	【叹气】。花园里的花都凋谢了。
	hua1 yuan2 li3 de5 hua1 dou1 diao1 xie4 le5
M24_230191	【诧异】。风筝线断了。飘远了。
	feng1 zheng1 xian4 duan4 le5 piao1 yuan3 le5
M24_230192	【叹气】。最好的朋友不理我了。
	zui4 hao3 de5 peng2 you5 bu4 li3 wo3 le5
M24_230193	【叹气】。生日蛋糕都被吃光了。
	sheng1 ri4 dan4 gao1 dou1 bei4 chi1 guang1 le5
M24_230194	【诧异】。星星不见了。天空好空。
	xing1 xing5 bu2 jian4 le5 tian1 kong1 hao3 kong1
M24_230195	【叹气】。妈妈生病了。我好担心。
	ma1 ma5 sheng1 bing4 le5 wo3 hao3 dan1 xin1
M24_230196	【哭声】。我的花被弄脏了。
	wo3 de5 hua1 bei4 nong4 zang1 le5
M24_230197	【叹气】。游乐场关门了，不能去。
	you2 le4 chang3 guan1 men2 le5 bu4 neng2 qu4
M24_230198	哦，故事书读完了。没新故事。
	o5 gu4 shi5 shu1 du2 wan2 le5 mei2 xin1 gu4 shi5
M24_230199	啊。秋天来了。叶子都落了。
	a2 qiu1 tian1 lai2 le5 ye4 zi5 dou1 luo4 le5
M24_230200	【叹气】。我的帽子被风吹走了。
	wo3 de5 mao4 zi5 bei4 feng1 chui1 zou3 le5
M24_230201	【叹气】。心爱的玩具突然坏掉了。好难过呀。
	xin1 ai4 de5 wan2 ju4 tu1 ran2 huai4 diao4 le5 hao3 nan2 guo4 ya5
M24_230202	【哭声】。我的小猫怎么生病了呢？真揪心啊。
	wo3 de5 xiao3 mao1 zen3 me5 sheng1 bing4 le5 ne5 zhen1 jiu1 xin1 a5
M24_230203	【叹气】。和小伙伴闹别扭了，心里好委屈哦。
	he2 xiao3 huo3 ban4 nao4 bie4 niu5 le5 xin1 li3 hao3 wei3 qu1 o5
M24_230204	【叹气】。最爱的花朵被踩坏了。真可惜呀。
	zui4 ai4 de5 hua1 duo3 bei4 cai3 huai4 le5 zhen1 ke3 xi1 ya5
M24_230205	【委屈】、妈妈临时有事不能陪我了。好失落呢。
	ma1 ma5 lin2 shi2 you3 shi4 bu4 neng2 pei2 wo3 le5 hao3 shi1 luo4 ne5
M24_230206	【委屈】。我的画被撕破了。好心疼呀。
	wo3 de5 hua4 bei4 si1 po4 le5 hao3 xin1 teng2 ya5
M24_230207	【叹气】。养的金鱼翻肚皮了。好伤心呢。
	yang3 de5 jin1 yu2 fan1 du4 pi2 le5 hao3 shang1 xin1 ne5
M24_230208	【委屈】。想看的动画片突然停播了。好郁闷哦。
	xiang3 kan4 de5 dong4 hua4 pian1 tu1 ran2 ting2 bo1 le5 hao3 yu4 men4 o5
M24_230209	【紧张】。心爱的贴纸弄丢了。好着急呀。
	xin1 ai4 de5 tie1 zhi3 nong4 diu1 le5 hao3 zhao1 ji2 ya5
M24_230210	【叹气】。和小狗玩耍时他咬了我。好疼好委屈。
	he2 xiao3 gou3 wan2 shua3 shi2 ta1 yao3 le5 wo3 hao3 teng2 hao3 wei3 qu1
M24_230211	【委屈】，爸爸答应的礼物没带来。好失望呀。
	ba4 ba5 da1 ying4 de5 li3 wu4 mei2 dai4 lai5 hao3 shi1 wang4 ya5
M24_230212	【委屈】。我的风筝挂树上下不来了。好无奈哦。
	wo3 de5 feng1 zheng5 gua4 shu4 shang5 xia4 bu4 lai2 le5 hao3 wu2 nai4 o5
M24_230213	【叹气】。最爱的故事书被弄脏了。好生气啊。
	zui4 ai4 de5 gu4 shi5 shu1 bei4 nong4 zang1 le5 hao3 sheng1 qi4 a5
M24_230214	【委屈】。和小伙伴比赛输了。好不甘心呐。
	he2 xiao3 huo3 ban4 bi3 sai4 shu1 le5 hao3 bu4 gan1 xin1 na5
M24_230215	【诧异】。种的草莓被鸟吃了。好心疼哟。
	zhong4 de5 cao3 mei2 bei4 niao3 chi1 le5 hao3 xin1 teng2 yo5
M24_230216	【叹气】。想去的地方因为下雨去不了。好沮丧呀。
	xiang3 qu4 de5 di4 fang1 yin1 wei4 xia4 yu3 qu4 bu4 liao3 hao3 ju3 sang4 ya5
M24_230217	【委屈】我的橡皮擦不见了。好着急呀。
	wo3 de5 xiang4 pi2 ca1 bu2 jian4 le5 hao3 zhao2 ji2 ya5
M24_230218	【叹气】。心爱的发卡断了。好可惜呢。
	xin1 ai4 de5 fa4 qia3 duan4 le5 hao3 ke3 xi1 ne5
M24_230219	【叹气】。和小猫玩时它跑了。好失落呀。
	he2 xiao3 mao1 wan2 shi2 ta1 pao3 le5 hao3 shi1 luo4 ya5
M24_230220	【委屈】、妈妈做的菜不合我口味。好难过呀。
	ma1 ma5 zuo4 de5 cai4 bu4 he2 wo3 kou3 wei4 hao3 nan2 guo4 ya5
M24_230221	【诧异】。我的拼图少了一块。好郁闷呐。
	wo3 de5 pin1 tu2 shao3 le5 yi2 kuai4 hao3 yu4 men4 na5
M24_230222	【叹气】。最爱的糖果被弟弟吃了。好委屈呀。
	zui4 ai4 de5 tang2 guo3 bei4 di4 di5 chi1 le5 hao3 wei3 qu1 ya5
M24_230223	【叹气】，和小伙伴约好又爽约了。好生气哦。
	he2 xiao3 huo3 ban4 yue1 hao3 you4 shuang3 yue1 le5 hao3 sheng1 qi4 o5
M24_230224	【诧异】，我的彩笔没水了。好着急啊。
	wo3 de5 cai3 bi3 mei2 shui3 le5 hao3 zhao1 ji2 a5
M24_230225	【叹气】。养的小仓鼠不动了。好害怕呀。
	yang3 de5 xiao3 cang1 shu3 bu2 dong4 le5 hao3 hai4 pa4 ya5
M24_230226	【哭声】，爸爸批评我了。好委屈呢。
	ba4 ba5 pi1 ping2 wo3 le5 hao3 wei3 qu1 ne5
M24_230227	【诧异】，我的布娃娃破了个洞。好心疼啊。
	wo3 de5 bu4 wa2 wa5 po4 le5 ge5 dong4 hao3 xin1 teng2 a5
M24_230228	【叹气】。想去游泳却没带泳衣。好懊恼呀。
	xiang3 qu4 you2 yong3 que4 mei2 dai4 yong3 yi1 hao3 ao4 nao3 ya5
M24_230229	【诧异】，我的作业本被撕了。好着急呢。
	wo3 de5 zuo4 ye4 ben3 bei4 si1 le5 hao3 zhao1 ji2 ne5
M24_230230	【委屈】、心爱的卡片被风吹走了。好可惜呀。
	xin1 ai4 de5 ka3 pian4 bei4 feng1 chui1 zou3 le5 hao3 ke3 xi1 ya5
M24_230231	【叹气】。和小狗散步它老乱跑。好累好委屈啊。
	he2 xiao3 gou3 san4 bu4 ta1 lao3 luan4 pao3 hao3 lei4 hao3 wei3 qu1 a5
M24_230232	【哭声】妈妈忘记我的生日了。好伤心呀。
	ma1 ma5 wang4 ji4 wo3 de5 sheng1 ri4 le5 hao3 shang1 xin1 ya5
M24_230233	【委屈】。我的陀螺转不起来了。好郁闷哦。
	wo3 de5 tuo2 luo2 zhuan4 bu4 qi3 lai2 le5 hao3 yu4 men4 o5
M24_230234	【叹气】。最爱的冰淇凌掉地上了。好心疼呢。
	zui4 ai4 de5 bing1 qi2 ling2 diao4 di4 shang4 le5 hao3 xin1 teng2 ne5
M24_230235	【哭声】，和小伙伴吵架了。好后悔呀。
	he2 xiao3 huo3 ban4 chao3 jia4 le5 hao3 hou4 hui3 ya5
M24_230236	【委屈】。我的风筝线断了。好无奈哦。
	wo3 de5 feng1 zheng5 xian4 duan4 le5 hao3 wu2 nai4 o5
M24_230237	【叹气】。种的花没开花就死了。好失落呀。
	zhong4 de5 hua1 mei2 kai1 hua1 jiu4 si3 le5 hao3 shi1 luo4 ya5
M24_230238	【委屈】。爸爸答应的游戏没完成。好失望哦。
	ba4 ba5 da1 ying4 de5 you2 xi4 mei2 wan2 cheng2 hao3 shi1 wang4 o5
M24_230239	【诧异】。我的魔方拼不回来了，好着急啊。
	wo3 de5 mo2 fang1 pin1 bu4 hui2 lai2 le5 hao3 zhao2 ji2 a5
M24_230240	【叹气】。心爱的项链断了。好可惜呢。
	xin1 ai4 de5 xiang4 lian4 duan4 le5 hao3 ke3 xi1 ne5
M24_230241	【哭声】，和小猫抢东西被抓了。好疼，好委屈。
	he2 xiao3 mao1 qiang3 dong1 xi5 bei4 zhua1 le5 hao3 teng2 hao3 wei3 qu1
M24_230242	【委屈】、我的玩具车坏了，好心疼呀。
	wo3 de5 wan2 ju4 che1 huai4 le5 hao3 xin1 teng2 ya5
M24_230243	【叹气】。想去公园却下雨了。好沮丧呢。
	xiang3 qu4 gong1 yuan2 que4 xia4 yu3 le5 hao3 ju3 sang4 ne5
M24_230244	【哭声】我的画笔全断了，好着急哦。
	wo3 de5 hua4 bi3 quan2 duan4 le5 hao3 zhao1 ji2 o5
M24_230245	【哭声】。最爱的漫画书被没收了。好郁闷呀。
	zui4 ai4 de5 man4 hua4 shu1 bei4 mo4 shou1 le5 hao3 yu4 men4 ya5
M24_230246	【叹气】。和小伙伴约好没赴约。好愧疚呀。
	he2 xiao3 huo3 ban4 yue1 hao3 mei2 fu4 yue1 hao3 kui4 jiu4 ya5
M24_230247	【诧异】。我的沙包漏沙了。好无奈哟。
	wo3 de5 sha1 bao1 lou4 sha1 le5 hao3 wu2 nai4 yo5
M24_230248	【叹气】。养的小鸟飞走了。好伤心呢。
	yang3 de5 xiao3 niao3 fei1 zou3 le5 hao3 shang1 xin1 ne5
M24_230250	【诧异】。我的跳绳断了。好着急呀。
	wo3 de5 tiao4 sheng2 duan4 le5 hao3 zhao2 ji2 ya5
M24_230251	【叹气】。心爱的手表停了。好可惜呢。
	xin1 ai4 de5 shou3 biao3 ting2 le5 hao3 ke3 xi1 ne5
M24_230252	【哭声】。和小狗玩耍被撞了。好疼好委屈。
	he2 xiao3 gou3 wan2 shua3 bei4 zhuang4 le5 hao3 teng2 hao3 wei3 qu1
M24_230253	哇。我的积木塔倒了。好心疼呀。
	wa5 wo3 de5 ji1 mu4 ta3 dao3 le5 hao3 xin1 teng2 ya5
M24_230254	【叹气】。想去爬山却没力气。好懊恼呀。
	xiang3 qu4 pa2 shan1 que4 mei2 li4 qi5 hao3 ao4 nao3 ya5
M24_230255	【哭声】，我的作业没写完被骂了。好着急哦。
	wo3 de5 zuo4 ye4 mei2 xie3 wan2 bei4 ma4 le5 hao3 zhao2 ji2 o5
M24_230256	【委屈】。最爱的贴纸本丢了。好郁闷啊。
	zui4 ai4 de5 tie1 zhi3 ben3 diu1 le5 hao3 yu4 men4 a5
M24_230257	【哭声】。和小伙伴闹矛盾了。好后悔呀。
	he2 xiao3 huo3 ban4 nao4 mao2 dun4 le5 hao3 hou4 hui3 ya5
M24_230258	【委屈】。我的风筝挂到高压线。好害怕哟。
	wo3 de5 feng1 zheng5 gua4 dao4 gao1 ya1 xian4 hao3 hai4 pa4 yo5
M24_230259	【叹气】。种的小树被风吹倒了。好失落呀。
	zhong4 de5 xiao3 shu4 bei4 feng1 chui1 dao3 le5 hao3 shi1 luo4 ya5
M24_230260	【委屈】，爸爸答应的旅行泡汤。好失望哦。
	ba4 ba5 da1 ying4 de5 lv3 xing2 pao4 tang1 hao3 shi1 wang4 o5
M24_230261	【诧异】。我的悠悠球没反应。好着急呀。
	wo3 de5 you1 you1 qiu2 mei2 fan3 ying4 hao3 zhao2 ji2 ya5
M24_230262	【叹气】。心爱的发圈丢了。好可惜呢。
	xin1 ai4 de5 fa4 quan1 diu1 le5 hao3 ke3 xi1 ne5
M24_230263	【委屈】，和小猫抢床被赶走。好委屈啊。
	he2 xiao3 mao1 qiang3 chuang2 bei4 gan3 zou3 hao3 wei3 qu1 a5
M24_230264	【叹气】。我的玩具枪卡壳了。好心疼哦。
	wo3 de5 wan2 ju4 qiang1 ka3 ke2 le5 hao3 xin1 teng2 o5
M24_230265	【叹气】。想去钓鱼却没鱼饵。好沮丧呢。
	xiang3 qu4 diao4 yu2 que4 mei2 yu2 er3 hao3 ju3 sang4 ne5
M24_230266	【哭声】，我的画被老师批评。好难过呀。
	wo3 de5 hua4 bei4 lao3 shi1 pi1 ping2 hao3 nan2 guo4 ya5
M24_230267	【委屈】。最爱的零食过期了。好郁闷哟。
	zui4 ai4 de5 ling2 shi2 guo4 qi1 le5 hao3 yu4 men4 yo5
M24_230268	【委屈】。和小伙伴比赛作弊被发现。好羞愧。
	he2 xiao3 huo3 ban4 bi3 sai4 zuo4 bi4 bei4 fa1 xian4 hao3 xiu1 kui4
M24_230269	【委屈】，我的沙漏摔碎了。好无奈呀。
	wo3 de5 sha1 lou4 shuai1 sui4 le5 hao3 wu2 nai4 ya5
M24_230270	【叹气】。养的小鸭子淹死了。好伤心呐。
	yang3 de5 xiao3 ya1 zi5 yan1 si3 le5 hao3 shang1 xin1 na5
M24_230271	哦。妈妈做的菜太辣了。好难受哦。
	o5 ma1 ma5 zuo4 de5 cai4 tai4 la4 le5 hao3 nan2 shou4 o5
M24_230272	【委屈】，我的毽子踢飞了。好着急呀。
	wo3 de5 jian4 zi5 ti1 fei1 le5 hao3 zhao2 ji2 ya5
M24_230273	【叹气】。心爱的书包拉链坏了。好可惜呢。
	xin1 ai4 de5 shu1 bao1 la1 lian4 huai4 le5 hao3 ke3 xi1 ne5
M24_230274	【哭声】，和小狗赛跑摔倒了。好疼好委屈。
	he2 xiao3 gou3 sai4 pao3 shuai1 dao3 le5 hao3 teng2 hao3 wei3 qu1
M24_230275	【委屈】。我的拼装玩具少了零件。好心疼呀。
	wo3 de5 pin1 zhuang1 wan2 ju4 shao3 le5 ling2 jian4 hao3 xin1 teng2 ya5
M24_230276	【叹气】，想去露营却下雨了。好懊恼呢。
	xiang3 qu4 lu4 ying2 que4 xia4 yu3 le5 hao3 ao4 nao3 ne5
M24_230277	【哭声】、我的作业本被狗咬了。好着急哦。
	wo3 de5 zuo4 ye4 ben3 bei4 gou3 yao3 le5 hao3 zhao2 ji2 o5
M24_230278	【委屈】。我最爱的卡片被水浸了。好郁闷呀。
	wo3 zui4 ai4 de5 ka3 pian4 bei4 shui3 jin4 le5 hao3 yu4 men4 ya5
M24_230279	【哭声】，和小伙伴约好又迟到。好愧疚呀。
	he2 xiao3 huo3 ban4 yue1 hao3 you4 chi2 dao4 hao3 kui4 jiu4 ya5
M24_230280	【委屈】，我的风筝被树枝划破了。好无奈哦。
	wo3 de5 feng1 zheng5 bei4 shu4 zhi1 hua2 po4 le5 hao3 wu2 nai4 o5
M24_230281	【叹气】。种的花被虫吃了。好失落呀。
	zhong4 de5 hua1 bei4 chong2 chi1 le5 hao3 shi1 luo4 ya5
M24_230282	【委屈】、爸爸答应的奖金没了。好失望哦。
	ba4 ba5 da1 ying4 de5 jiang3 jin1 mei2 le5 hao3 shi1 wang4 o5
M24_230283	【诧异】、我的魔尺折不直了。好着急哦。
	wo3 de5 mo2 chi3 zhe2 bu4 zhi2 le5 hao3 zhao2 ji2 o5
M24_230284	【叹气】。心爱的项链链子断了。好可惜呢。
	xin1 ai4 de5 xiang4 lian4 lian4 zi5 duan4 le5 hao3 ke3 xi1 ne5
M24_230285	【委屈】。和小猫抢球被抓伤。好疼好委屈。
	he2 xiao3 mao1 qiang3 qiu2 bei4 zhua1 shang1 hao3 teng2 hao3 wei3 qu1
M24_230286	【哭声】，我的玩具火车脱轨了。好心疼哦。
	wo3 de5 wan2 ju4 huo3 che1 tuo1 gui3 le5 hao3 xin1 teng2 o5
M24_230287	【叹气】。想去游泳馆却关门了。好沮丧呢。
	xiang3 qu4 you2 yong3 guan3 que4 guan1 men2 le5 hao3 ju3 sang4 ne5
M24_230288	【哭声】，我的画笔没墨水了。好着急呀。
	wo3 de5 hua4 bi3 mei2 mo4 shui3 le5 hao3 zhao2 ji2 ya5
M24_230289	【哭声】，最爱的漫画被撕页了。好郁闷哦。
	zui4 ai4 de5 man4 hua4 bei4 si1 ye4 le5 hao3 yu4 men4 o5
M24_230290	【哭声】，和小伙伴闹掰了。好后悔呀。
	he2 xiao3 huo3 ban4 nao4 bai1 le5 hao3 hou4 hui3 ya5
M24_230291	【诧异】。我的风筝飞进树林。好害怕哟。
	wo3 de5 feng1 zheng5 fei1 jin4 shu4 lin2 hao3 hai4 pa4 yo5
M24_230292	【叹气】。种的小树被虫蛀了。好失落呀。
	zhong4 de5 xiao3 shu4 bei4 chong2 zhu4 le5 hao3 shi1 luo4 ya5
M24_230293	【委屈】。爸爸答应的礼物缩水。好失望哦。
	ba4 ba5 da1 ying5 de5 li3 wu4 suo1 shui3 hao3 shi1 wang4 o5
M24_230294	【诧异】。我的悠悠球绳子断了。好着急呀。
	wo3 de5 you1 you1 qiu2 sheng2 zi5 duan4 le5 hao3 zhao2 ji2 ya5
M24_230295	【叹气】。心爱的发卡夹子掉了。好可惜呢。
	xin1 ai4 de5 fa4 qia3 jia2 zi5 diao4 le5 hao3 ke3 xi1 ne5
M24_230296	【委屈】。和小猫抢食被咬了。好疼好委屈。
	he2 xiao3 mao1 qiang3 shi2 bei4 yao3 le5 hao3 teng2 hao3 wei3 qu1
M24_230297	【诧异】。我的玩具船漏水了。好心疼哦。
	wo3 de5 wan2 ju4 chuan2 lou4 shui3 le5 hao3 xin1 teng2 o5
M24_230298	【叹气】，想去动物园却没票了。好沮丧呢。
	xiang3 qu4 dong4 wu4 yuan2 que4 mei2 piao4 le5 hao3 ju3 sang4 ne5
M24_230299	【诧异】。我的作业被风吹走。好着急呀。
	wo3 de5 zuo4 ye4 bei4 feng1 chui1 zou3 hao3 zhao2 ji2 ya5
M24_230300	【委屈】。最爱的贴纸被粘坏了。好郁闷哟。
	zui4 ai4 de5 tie1 zhi3 bei4 zhan1 huai4 le5 hao3 yu4 men4 yo5
M24_230301	【叹气】。和小伙伴约好却没来。好失落哦。
	he2 xiao3 huo3 ban4 yue1 hao3 que4 mei2 lai2 hao3 shi1 luo4 o5
M24_230302	【诧异】。我的风筝挂到屋檐。好无奈哦。
	wo3 de5 feng1 zheng5 gua4 dao4 wu1 yan2 hao3 wu2 nai4 o5
M24_230303	【叹气】。养的小兔子不见了。好伤心呀。
	yang3 de5 xiao3 tu4 zi5 bu2 jian4 le5 hao3 shang1 xin1 ya5
M24_230304	【委屈】。妈妈做的饭太淡了。好没味儿呀。
	ma1 ma5 zuo4 de5 fan4 tai4 dan4 le5 hao3 mei2 wei4 er5 ya5
M24_230305	【诧异】。我的跳绳把手断了。好着急呀。
	wo3 de5 tiao4 sheng2 ba3 shou3 duan4 le5 hao3 zhao2 ji2 ya5
M24_230306	【叹气】。心爱的手表表带断了。好可惜呢。
	xin1 ai4 de5 shou3 biao3 biao3 dai4 duan4 le5 hao3 ke3 xi1 ne5
M24_230307	【委屈】。和小狗玩耍被撞倒。好疼好委屈。
	he2 xiao3 gou3 wan2 shua3 bei4 zhuang4 dao3 hao3 teng2 hao3 wei3 qu1
M24_230308	【委屈】，我的积木城堡塌了。好心疼哦。
	wo3 de5 ji1 mu4 cheng2 bao3 ta1 le5 hao3 xin1 teng2 o5
M24_230309	【叹气】，想去爬山却迷路了。好害怕呀。
	xiang3 qu4 pa2 shan1 que4 mi2 lu4 le5 hao3 hai4 pa4 ya5
M24_230310	【哭声】，我的作业没带被老师骂。好着急哦。
	wo3 de5 zuo4 ye4 mei2 dai4 bei4 lao3 shi1 ma4 hao3 zhao2 ji2 o5
M24_230311	【委屈】。最爱的贴纸本被画花。好郁闷哟。
	zui4 ai4 de5 tie1 zhi3 ben3 bei4 hua4 hua1 hao3 yu4 men4 yo5
M24_230312	【哭声】。和小伙伴闹得很僵。好后悔啊。
	he2 xiao3 huo3 ban4 nao4 de5 hen3 jiang1 hao3 hou4 hui3 a5
M24_230313	【诧异】。我的风筝被大风刮跑了。好无奈呀。
	wo3 de5 feng1 zheng5 bei4 da4 feng1 gua1 pao3 le5 hao3 wu2 nai4 ya5
M24_230314	【叹气】。种的小树被车撞了。好失落呢。
	zhong4 de5 xiao3 shu4 bei4 che1 zhuang4 le5 hao3 shi1 luo4 ne5
M24_230315	【委屈】。爸爸答应的游玩取消。好失望哦。
	ba4 ba5 da2 ying4 de5 you2 wan2 qu3 xiao1 hao3 shi1 wang4 o5
M24_230317	【叹气】。心爱的发圈弹性没了。好可惜呀。
	xin1 ai4 de5 fa4 quan1 tan2 xing4 mei2 le5 hao3 ke3 xi1 ya5
M24_230318	【委屈】。和小猫抢窝被赶出去。好委屈呀。
	he2 xiao3 mao1 qiang3 wo1 bei4 gan3 chu1 qu4 hao3 wei3 qu1 ya5
M24_230319	【诧异】。我的玩具枪没子弹了，好心疼哦。
	wo3 de5 wan2 ju4 qiang1 mei2 zi3 dan4 le5 hao3 xin1 teng2 o5
M24_230320	【叹气】。想去钓鱼却没钓到。好沮丧呢。
	xiang3 qu4 diao4 yu2 que4 mei2 diao4 dao4 hao3 ju3 sang4 ne5
M24_230321	【哭声】我的话被同学嘲笑。好难过呀。
	wo3 de5 hua4 bei4 tong2 xue2 chao2 xiao4 hao3 nan2 guo4 ya5
M24_230322	【诧异】。最爱的零食被妹妹抢。好郁闷哟。
	zui4 ai4 de5 ling2 shi2 bei4 mei4 mei5 qiang3 hao3 yu4 men4 yo5
M24_230323	【委屈】。和小伙伴作弊被举报。好羞愧呀。
	he2 xiao3 huo3 ban4 zuo4 bi4 bei4 ju3 bao4 hao3 xiu1 kui4 ya5
M24_230324	【委屈】。我的沙漏沙子漏光了。好无奈呢。
	wo3 de5 sha1 lou4 sha1 zi5 lou4 guang1 le5 hao3 wu2 nai4 ne5
M24_230325	【叹气】。养的小鸭子走丢了。好伤心呢。
	yang3 de5 xiao3 ya1 zi5 zou3 diu1 le5 hao3 shang1 xin1 ne5
M24_230326	【委屈】。妈妈做的菜太油了。好难受啊。
	ma1 ma5 zuo4 de5 cai4 tai4 you2 le5 hao3 nan2 shou4 a5
M24_230327	【无奈】。我的毽子羽毛掉了。好着急呀。
	wo3 de5 jian4 zi5 yu3 mao2 diao4 le5 hao3 zhao2 ji2 ya5
M24_230328	【叹气】。心爱的书包被划破。好可惜呀。
	xin1 ai4 de5 shu1 bao1 bei4 hua2 po4 hao3 ke3 xi1 ya5
M24_230329	【委屈】，和小狗赛跑输了还摔跤。好疼、好委屈。
	he2 xiao3 gou3 sai4 pao3 shu1 le5 hai2 shuai1 jiao1 hao3 teng2 hao3 wei3 qu1
M24_230330	【委屈】。我的拼装玩具散架了。好心疼哦。
	wo3 de5 pin1 zhuang1 wan2 ju4 san3 jia4 le5 hao3 xin1 teng2 o5
M24_230331	【叹气】，想去露营却忘带帐篷。好懊恼呢。
	xiang3 qu4 lu4 ying2 que4 wang4 dai4 zhang4 peng5 hao3 ao4 nao3 ne5
M24_230332	【哭声】我的作业本被雨淋湿了。好着急呀。
	wo3 de5 zuo4 ye4 ben3 bei4 yu3 lin2 shi1 le5 hao3 zhao2 ji2 ya5
M24_230333	【无奈】。最爱的卡片被火烧了。好郁闷哟。
	zui4 ai4 de5 ka3 pian4 bei4 huo3 shao1 le5 hao3 yu4 men4 yo5
M24_230334	【哭声】和小伙伴约好又失约。好愧疚呀。
	he2 xiao3 huo3 ban4 yue1 hao3 you4 shi1 yue1 hao3 kui4 jiu4 ya5
M24_230335	【无奈】，我的风筝被鸟攻击。好无奈呢。
	wo3 de5 feng1 zheng5 bei4 niao3 gong1 ji1 hao3 wu2 nai4 ne5
M24_230336	【叹气】。种的花被霜打了。好失落呀。
	zhong4 de5 hua1 bei4 shuang1 da3 le5 hao3 shi1 luo4 ya5
M24_230337	【哭声】、爸爸答应的奖励没了。好失望哦。
	ba4 ba5 da1 ying5 de5 jiang3 li4 mei2 le5 hao3 shi1 wang4 o5
M24_230338	【失落】，我的魔尺变不回原样，好着急呀。
	wo3 de5 mo2 chi3 bian4 bu4 hui2 yuan2 yang4 hao3 zhao2 ji2 ya5
M24_230339	【叹气】。心爱的项链珠子掉了。好可惜哦。
	xin1 ai4 de5 xiang4 lian4 zhu1 zi5 diao4 le5 hao3 ke3 xi1 o5
M24_230340	【哭声】。和小猫抢玩具被抓。好疼好委屈。
	he2 xiao3 mao1 qiang3 wan2 ju4 bei4 zhua1 hao3 teng2 hao3 wei3 qu1
M24_230341	【叹气】，我的玩具火车没电池了。好心疼哦。
	wo3 de5 wan2 ju4 huo3 che1 mei2 dian4 chi2 le5 hao3 xin1 teng2 o5
M24_230342	【叹气】。想去游泳馆却没泳镜。好沮丧呢。
	xiang3 qu4 you2 yong3 guan3 que4 mei2 yong3 jing4 hao3 ju3 sang4 ne5
M24_230343	【哭声】、我的画笔全丢了。好着急呀。
	wo3 de5 hua4 bi3 quan2 diu1 le5 hao3 zhao2 ji2 ya5
M24_230344	【哭声】。最爱的漫画被没收又撕。好郁闷哟。
	zui4 ai4 de5 man4 hua4 bei4 mo4 shou1 you4 si1 hao3 yu4 men4 yo5
M24_230345	【叹气】。和小伙伴闹到绝交。好后悔呀。
	he2 xiao3 huo3 ban4 nao4 dao4 jue2 jiao1 hao3 hou4 hui3 ya5
M24_230346	【失落】。我的风筝飞进湖里，好害怕哟。
	wo3 de5 feng1 zheng5 fei1 jin4 hu2 li3 hao3 hai4 pa4 yo5
M24_230347	【叹气】。种的小树被砍了。好失落呢。
	zhong4 de5 xiao3 shu4 bei4 kan3 le5 hao3 shi1 luo4 ne5
M24_230348	【委屈】，爸爸答应的礼物没给。好失望哦。
	ba4 ba5 da1 ying5 de5 li3 wu4 mei2 gei3 hao3 shi1 wang4 o5
M24_230349	【诧异】。我的悠悠球收不回来。好着急呀。
	wo3 de5 you1 you1 qiu2 shou1 bu4 hui2 lai2 hao3 zhao2 ji2 ya5
M24_230350	【叹气】。心爱的发卡颜色掉了。好可惜哟。
	xin1 ai4 de5 fa4 qia3 yan2 se4 diao4 le5 hao3 ke3 xi1 yo5
